Tabla 1
Name of pages,Subpage,Modules,Variables, Values,Frequencies / intervals,Table names,
Sector analysis,Classification of economic activities,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Structure ratios (immobilization, liquidity",Notifications,,,,To explain,
Financial indicators,"Structure ratios (immobilization, liquidity",Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Structure ratios (immobilization, liquidity",Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Solvency ratios (capacity, financial autonomy",Notifications,,,,To explain,
Financial indicators,"Solvency ratios (capacity, financial autonomy",Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Solvency ratios (capacity, financial autonomy",Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Profitability ratios (gross operating margin, productivity",Notifications,,,,To explain,
Financial indicators,"Profitability ratios (gross operating margin, productivity",Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Profitability ratios (gross operating margin, productivity",Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Credit durations and stock rotation (Supplier credit, stock rotation",Notifications,,,,To explain,
Financial indicators,"Credit durations and stock rotation (Supplier credit, stock rotation",Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Credit durations and stock rotation (Supplier credit, stock rotation",Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Beneficial Owners,Notifications,,,,To explain,
Leaders,Beneficial Owners,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Beneficial Owners,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Business representatives,Notifications,,,,To explain,
Leaders,Business representatives,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Business representatives,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Age and gender ratio of managers by sector of activity,Notifications,,,,To explain,
Leaders,Age and gender ratio of managers by sector of activity,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Age and gender ratio of managers by sector of activity,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Capital ties,Notifications,,,,To explain,
Leaders,Capital ties,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Capital ties,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
International trade analysis,International trade in goods between WAEMU and the EU,Notifications,Reporter; Partner,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Export,
International trade analysis,International trade in goods between WAEMU and the EU,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
International trade analysis,International trade in goods between WAEMU and the EU,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
International trade analysis,Trade balance between the EU and WAEMU,Notifications,Reporter; Partner,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Export,
International trade analysis,Trade balance between the EU and WAEMU,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
International trade analysis,Trade balance between the EU and WAEMU,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
International trade analysis,Terms of trade between the EU and WAEMU,Notifications,Reporter; Partner,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Export,
International trade analysis,Terms of trade between the EU and WAEMU,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
International trade analysis,Terms of trade between the EU and WAEMU,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
International trade analysis,Monthly evolution of trade between the EU and WAEMU,Notifications,Reporter; Partner,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Export,
International trade analysis,Monthly evolution of trade between the EU and WAEMU,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
International trade analysis,Monthly evolution of trade between the EU and WAEMU,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Development aid,Data on AFD development aid to WAEMU countries,Notifications,Country of implementation; Project title,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Help,
Development aid,Data on AFD development aid to WAEMU countries,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Development aid,Data on AFD development aid to WAEMU countries,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Development aid,Evaluation of AFD development aid,Notifications,Country of implementation; Project title,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Help,
Development aid,Evaluation of AFD development aid,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Development aid,Evaluation of AFD development aid,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Country indicators,France Indicators,Notifications,Themes,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,WB; IMF; Economic Trade Mapping Files,
Country indicators,France Indicators,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Country indicators,France Indicators,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
